topic_id,slug,human_label,size,share_overall_pct,medoid_claim_id,medoid_clean_claim,first_seen,peak_year,last_seen,exemplar_ids
T01,health_supplements_cures,สุขภาพ อาหาร และยารักษาโรค,5223,19.42,16009,สูตรยาสมุนไพร แก้โรคมะเร็งในกระเพาะอาหาร,2015-07-11,2023,2026-08-02,"[16009, 15855, 15839, 15785, 15403]"
T02,pandemic_covid_vaccine,โรคระบาด โควิด-19 และวัคซีน,1534,5.7,24504,ฟ้าทะลายโจร ป้องกันโควิด ไม่ต้องฉีดวัคซีน,2017-05-30,2020,2026-08-01,"[24504, 25167, 25154, 25098, 25074]"
T03,financial_scam_loans,การเงิน สินเชื่อปลอม และแก๊งคอลเซ็นเตอร์,1993,7.41,13998,ธ.กรุงไทย และออมสิน ร่วมกับ L.i.L ปล่อยสินเชื่อดอกเบี้ยต่ำ ให้ทุกอาชีพ ผ่านไลน์ @490dupuw,2017-10-06,2025,2026-08-01,"[13998, 12023, 15965, 15284, 15185]"
T04,stock_investment_fraud,หลอกลงทุนหุ้น คริปโต และตลาดหลักทรัพย์,1187,4.41,12480,ตลาดหลักทรัพย์แห่งประเทศไทย เปิดลงทุนเทรดหุ้น เริ่มต้น 899 บาท รับปันผลทุกเดือน,2018-12-27,2025,2026-08-02,"[12480, 12062, 9086, 12520, 12385]"
T05,gov_welfare_subsidy,นโยบายรัฐบาล สวัสดิการ และเงินเยียวยา,580,2.16,15799,ครม. อนุมัติลดหย่อนเงินสมทบประกันสังคม เหลือ 2% ระยะเวลา 3 เดือน เริ่ม ก.ย. - พ.ย.,2016-07-11,2023,2026-07-29,"[15799, 14166, 13950, 13890, 12635]"
T06,migrant_labor_citizenship,แรงงานต่างด้าว สัญชาติ และผู้ลี้ภัย,749,2.79,2107,อนุมัติต่ออายุใบอนุญาตแรงงานต่างด้าว สัญชาติลาว เมียนมาและเวียดนาม ให้อีก 1 ปี,2015-10-09,2025,2026-08-02,"[2107, 14281, 14255, 5235, 5170]"
T07,ai_deepfakes_synthetic,AI ดีพเฟก ภาพตัดต่อ และสื่อสังเคราะห์,417,1.55,8688,ระวัง Deepfake สู่ Fake News นี่คนจริง หรือ AI,2020-09-08,2025,2026-08-03,"[8688, 27548, 27176, 27110, 28096]"
T08,disasters_weather_climate,ภัยพิบัติ สภาพอากาศ และแผ่นดินไหว,699,2.6,15467,กรมอุตุฯ เตือนประเทศไทยอุณหภูมิลดลงมากสุดในรอบ 14 ปี ฝนตกหนัก กรุงเทพฯ และปริมณฑลจะเกิดพายุฤดูร้อน,2016-05-24,2025,2026-07-28,"[15467, 15383, 14680, 11551, 9890]"
T09,politics_elections_protest,การเมือง การเลือกตั้ง และการชุมนุม,515,1.91,10483,พรรคเพื่อไทย และพรรคก้าวไกล หายจากเอกสารคู่มือการเลือกตั้ง กกต. เจอเบอร์ 27 และข้ามไปเบอร์ 32,2016-05-30,2026,2026-07-30,"[10483, 10152, 4118, 2045, 26871]"
T10,border_geopolitics_foreign,ความมั่นคงชายแดน และภูมิรัฐศาสตร์,516,1.92,27374,ภาพเรือบรรทุกเครื่องบินสหรัฐฯ ในสงครามเวียดนามถูกนำมาอ้างเท็จว่าเป็นเรืออับราฮัมลินคอล์นถูกอิหร่านโจมตี,2016-10-07,2026,2026-08-02,"[27374, 27202, 27876, 963, 26744]"
